L,mu,cvr,f,m,cs/cw,BE,CBEmuFactor,CBE_mu_m_Factor,DF+DL,NB 1 day (Fit),NB L days (Fit),NB R+L=1+L days (FitConv),NB m days (FitConv),NB m+1 days (FitConv),NB m+L days (FitConv),NB m+L+1 days (FitConv),LB_S,UB_S,,,,,,,
0,2,0.7,1,5,0.2,10,0.00E+00,1.00E+00,4,1,0,1,8,10,8,10,0,8,,,,,,,
0,2,0.7,1,5,1,1,0.00E+00,0.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,1,5,1,2,1.00E+00,0.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,1,5,1,10,0.00E+00,1.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,1,5,5,1,0.00E+00,0.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,0.7,1,5,5,2,1.00E+00,0.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,0.7,1,5,5,10,0.00E+00,1.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,1,0,3,0.2,1,0.00E+00,0.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0,3,0.2,2,1.00E+00,0.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0,3,0.2,6,0.00E+00,1.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0,3,1,1,0.00E+00,0.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0,3,1,2,1.00E+00,0.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0,3,1,6,0.00E+00,1.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0,3,5,1,0.00E+00,0.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0,3,5,2,1.00E+00,0.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0,3,5,6,0.00E+00,1.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0,4,0.2,1,0.00E+00,0.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0,4,0.2,2,1.00E+00,0.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0,4,0.2,8,0.00E+00,1.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0,4,1,1,0.00E+00,0.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0,4,1,2,1.00E+00,0.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0,4,1,8,0.00E+00,1.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0,4,5,1,0.00E+00,0.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0,4,5,2,1.00E+00,0.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0,4,5,8,0.00E+00,1.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0,5,0.2,1,0.00E+00,0.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0,5,0.2,2,1.00E+00,0.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0,5,0.2,10,0.00E+00,1.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0,5,1,1,0.00E+00,0.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0,5,1,2,1.00E+00,0.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0,5,1,10,0.00E+00,1.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0,5,5,1,0.00E+00,0.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,0,5,5,2,1.00E+00,0.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,0,5,5,10,0.00E+00,1.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,0.5,3,0.2,1,0.00E+00,0.00E+00,12,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0.5,3,0.2,2,1.00E+00,0.00E+00,12,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0.5,3,0.2,6,0.00E+00,1.00E+00,12,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,0.5,3,1,1,0.00E+00,0.00E+00,12,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0.5,3,1,2,1.00E+00,0.00E+00,12,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0.5,3,1,6,0.00E+00,1.00E+00,12,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,0.5,3,5,1,0.00E+00,0.00E+00,12,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0.5,3,5,2,1.00E+00,0.00E+00,12,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0.5,3,5,6,0.00E+00,1.00E+00,12,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,0.5,4,0.2,1,0.00E+00,0.00E+00,12,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0.5,4,0.2,2,1.00E+00,0.00E+00,12,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0.5,4,0.2,8,0.00E+00,1.00E+00,12,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,0.5,4,1,1,0.00E+00,0.00E+00,12,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0.5,4,1,2,1.00E+00,0.00E+00,12,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0.5,4,1,8,0.00E+00,1.00E+00,12,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,0.5,4,5,1,0.00E+00,0.00E+00,12,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0.5,4,5,2,1.00E+00,0.00E+00,12,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0.5,4,5,8,0.00E+00,1.00E+00,12,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,0.5,5,0.2,1,0.00E+00,0.00E+00,12,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0.5,5,0.2,2,1.00E+00,0.00E+00,12,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0.5,5,0.2,10,0.00E+00,1.00E+00,12,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,0.5,5,1,1,0.00E+00,0.00E+00,12,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0.5,5,1,2,1.00E+00,0.00E+00,12,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0.5,5,1,10,0.00E+00,1.00E+00,12,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,0.5,5,5,1,0.00E+00,0.00E+00,12,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,0.5,5,5,2,1.00E+00,0.00E+00,12,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,0.5,5,5,10,0.00E+00,1.00E+00,12,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,1,3,0.2,1,0.00E+00,0.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,1,3,0.2,2,1.00E+00,0.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,1,3,0.2,6,0.00E+00,1.00E+00,8,1,0,1,4,5,4,5,0,4,,,,,,,
0,2,1,1,3,1,1,0.00E+00,0.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,1,3,1,2,1.00E+00,0.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,1,3,1,6,0.00E+00,1.00E+00,8,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,1,1,3,5,1,0.00E+00,0.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,1,3,5,2,1.00E+00,0.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,1,3,5,6,0.00E+00,1.00E+00,8,3,0,3,8,11,8,11,0,8,,,,,,,
0,2,1,1,4,0.2,1,0.00E+00,0.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,1,4,0.2,2,1.00E+00,0.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,1,4,0.2,8,0.00E+00,1.00E+00,8,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1,1,4,1,1,0.00E+00,0.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,1,4,1,2,1.00E+00,0.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,1,4,1,8,0.00E+00,1.00E+00,8,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,1,1,4,5,1,0.00E+00,0.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,1,4,5,2,1.00E+00,0.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,1,4,5,8,0.00E+00,1.00E+00,8,3,0,3,11,13,11,13,0,11,,,,,,,
0,2,1,1,5,0.2,1,0.00E+00,0.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,1,5,0.2,2,1.00E+00,0.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,1,5,0.2,10,0.00E+00,1.00E+00,8,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1,1,5,1,1,0.00E+00,0.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,1,5,1,2,1.00E+00,0.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,1,5,1,10,0.00E+00,1.00E+00,8,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,1,1,5,5,1,0.00E+00,0.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,1,5,5,2,1.00E+00,0.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1,1,5,5,10,0.00E+00,1.00E+00,8,3,0,3,13,15,13,15,0,13,,,,,,,
0,2,1.5,0,3,0.2,1,0.00E+00,0.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0,3,0.2,2,1.00E+00,0.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0,3,0.2,6,0.00E+00,1.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0,3,1,1,0.00E+00,0.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,3,1,2,1.00E+00,0.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,3,1,6,0.00E+00,1.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,3,5,1,0.00E+00,0.00E+00,14,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0,3,5,2,1.00E+00,0.00E+00,14,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0,3,5,6,0.00E+00,1.00E+00,14,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0,4,0.2,1,0.00E+00,0.00E+00,14,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0,4,0.2,2,1.00E+00,0.00E+00,14,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0,4,0.2,8,0.00E+00,1.00E+00,14,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0,4,1,1,0.00E+00,0.00E+00,14,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0,4,1,2,1.00E+00,0.00E+00,14,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0,4,1,8,0.00E+00,1.00E+00,14,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0,4,5,1,0.00E+00,0.00E+00,14,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0,4,5,2,1.00E+00,0.00E+00,14,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0,4,5,8,0.00E+00,1.00E+00,14,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0,5,0.2,1,0.00E+00,0.00E+00,14,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,5,0.2,2,1.00E+00,0.00E+00,14,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,5,0.2,10,0.00E+00,1.00E+00,14,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0,5,1,1,0.00E+00,0.00E+00,14,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0,5,1,2,1.00E+00,0.00E+00,14,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0,5,1,10,0.00E+00,1.00E+00,14,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0,5,5,1,0.00E+00,0.00E+00,14,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,0,5,5,2,1.00E+00,0.00E+00,14,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,0,5,5,10,0.00E+00,1.00E+00,14,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,0.5,3,0.2,1,0.00E+00,0.00E+00,24,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0.5,3,0.2,2,1.00E+00,0.00E+00,24,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0.5,3,0.2,6,0.00E+00,1.00E+00,24,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,0.5,3,1,1,0.00E+00,0.00E+00,24,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,3,1,2,1.00E+00,0.00E+00,24,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,3,1,6,0.00E+00,1.00E+00,24,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,3,5,1,0.00E+00,0.00E+00,24,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0.5,3,5,2,1.00E+00,0.00E+00,24,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0.5,3,5,6,0.00E+00,1.00E+00,24,4,0,4,9,12,9,12,0,9,,,,,,,
0,2,1.5,0.5,4,0.2,1,0.00E+00,0.00E+00,24,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0.5,4,0.2,2,1.00E+00,0.00E+00,24,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0.5,4,0.2,8,0.00E+00,1.00E+00,24,0,0,0,4,5,4,5,0,4,,,,,,,
0,2,1.5,0.5,4,1,1,0.00E+00,0.00E+00,24,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0.5,4,1,2,1.00E+00,0.00E+00,24,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0.5,4,1,8,0.00E+00,1.00E+00,24,1,0,1,7,9,7,9,0,7,,,,,,,
0,2,1.5,0.5,4,5,1,0.00E+00,0.00E+00,24,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0.5,4,5,2,1.00E+00,0.00E+00,24,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0.5,4,5,8,0.00E+00,1.00E+00,24,4,0,4,12,14,12,14,0,12,,,,,,,
0,2,1.5,0.5,5,0.2,1,0.00E+00,0.00E+00,24,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,5,0.2,2,1.00E+00,0.00E+00,24,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,5,0.2,10,0.00E+00,1.00E+00,24,0,0,0,5,7,5,7,0,5,,,,,,,
0,2,1.5,0.5,5,1,1,0.00E+00,0.00E+00,24,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0.5,5,1,2,1.00E+00,0.00E+00,24,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0.5,5,1,10,0.00E+00,1.00E+00,24,1,0,1,9,11,9,11,0,9,,,,,,,
0,2,1.5,0.5,5,5,1,0.00E+00,0.00E+00,24,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,0.5,5,5,2,1.00E+00,0.00E+00,24,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,0.5,5,5,10,0.00E+00,1.00E+00,24,4,0,4,14,17,14,17,0,14,,,,,,,
0,2,1.5,1,3,0.2,1,0.00E+00,0.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,1,3,0.2,2,1.00E+00,0.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,1,3,0.2,6,0.00E+00,1.00E+00,14,0,0,0,3,4,3,4,0,3,,,,,,,
0,2,1.5,1,3,1,1,0.00E+00,0.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,1,3,1,2,1.00E+00,0.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,1,3,1,6,0.00E+00,1.00E+00,14,1,0,1,5,7,5,7,0,5,,,,,,,
0,2,1.5,1,3,5,1,0.00E+00,0.00E+00,14,4,0,4,9,12,9,12,0,9,,,,,,,
